NbOfCities,Optimal distance,Sequencing,Duration (in ms)
60,93833.42272890227,Singapore / Ho Chi Minh City / Bangkok / Kolkata / Hyderabad / Chennai / Bengaluru / Mumbai / Ahmadabad / Karachi / Khartoum / Kinshasa / Luanda / Lagos / Madrid / Atlanta / Houston / Dallas / Chicago / Toronto / New York / Philadelphia / Washington / Miami / Bogota / Belo Horizonte / Rio de Janeiro / Sao Paulo / Buenos Aires / Santiago / Lima / Mexico City / Los Angeles / Tokyo / Osaka / Taipei / Shanghai / Seoul / Shenyang / Tianjin / Beijing / Moscow / London / Paris / Barcelona / Istanbul / Cairo / Baghdad / Tehran / Lahore / Delhi / Haora / Dhaka / Chongqing / Wuhan / Guangzhou / Shenzhen / Hong Kong / Manila / Jakarta / Singapore,30037
60,77829.4963068988,Ho Chi Minh City / Singapore / Jakarta / Manila / Taipei / Hong Kong / Shenzhen / Guangzhou / Wuhan / Shanghai / Osaka / Tokyo / Seoul / Shenyang / Tianjin / Beijing / Chongqing / Dhaka / Haora / Kolkata / Hyderabad / Mumbai / Ahmadabad / Delhi / Lahore / Moscow / London / Paris / Barcelona / Madrid / New York / Philadelphia / Washington / Toronto / Chicago / Atlanta / Houston / Dallas / Los Angeles / Mexico City / Miami / Bogota / Lima / Santiago / Buenos Aires / Sao Paulo / Rio de Janeiro / Belo Horizonte / Lagos / Luanda / Kinshasa / Khartoum / Cairo / Istanbul / Baghdad / Tehran / Karachi / Bengaluru / Chennai / Bangkok / Ho Chi Minh City,141513
70,97261.70769788652,Dallas / Los Angeles / Guadalajara / Mexico City / Houston / Chicago / Toronto / Washington / Philadelphia / New York / Boston / Madrid / Barcelona / Paris / London / Saint Petersburg / Moscow / Istanbul / Cairo / Baghdad / Tehran / Lahore / Delhi / Ahmadabad / Mumbai / Pune / Hyderabad / Dhaka / Chongqing / Beijing / Tianjin / Shenyang / Seoul / Osaka / Tokyo / Manila / Sydney / Melbourne / Jakarta / Chennai / Bengaluru / Kolkata / Haora / Chittagong / Bangkok / Singapore / Ho Chi Minh City / Hanoi / Guangzhou / Dongguan / Shenzhen / Hong Kong / Taipei / Shanghai / Wuhan / Karachi / Riyadh / Khartoum / Kinshasa / Luanda / Lagos / Belo Horizonte / Rio de Janeiro / Sao Paulo / Buenos Aires / Santiago / Lima / Bogota / Miami / Atlanta / Dallas,152268
70,104104.95032652952,Hanoi / Tianjin / Beijing / Shenyang / Seoul / Tokyo / Osaka / Shanghai / Taipei / Manila / Hong Kong / Shenzhen / Dongguan / Guangzhou / Wuhan / Chongqing / Chittagong / Dhaka / Haora / Kolkata / Hyderabad / Chennai / Bengaluru / Pune / Mumbai / Ahmadabad / Delhi / Lahore / Karachi / Tehran / Barcelona / Bogota / Lima / Santiago / Buenos Aires / Sao Paulo / Rio de Janeiro / Belo Horizonte / Lagos / Luanda / Kinshasa / Khartoum / Riyadh / Baghdad / Cairo / Istanbul / Moscow / Saint Petersburg / London / Paris / Madrid / Boston / Atlanta / Dallas / Houston / Guadalajara / Mexico City / Miami / Washington / Philadelphia / New York / Toronto / Chicago / Los Angeles / Sydney / Melbourne / Jakarta / Singapore / Ho Chi Minh City / Bangkok / Hanoi,133774
70,105148.1925741385,Philadelphia / New York / London / Paris / Saint Petersburg / Moscow / Lahore / Delhi / Hyderabad / Bengaluru / Chennai / Hanoi / Manila / Sydney / Melbourne / Jakarta / Singapore / Ho Chi Minh City / Bangkok / Chittagong / Kolkata / Haora / Dhaka / Chongqing / Wuhan / Guangzhou / Dongguan / Shenzhen / Hong Kong / Taipei / Shanghai / Tianjin / Beijing / Shenyang / Seoul / Osaka / Tokyo / Los Angeles / Guadalajara / Mexico City / Houston / Dallas / Miami / Bogota / Lima / Santiago / Buenos Aires / Sao Paulo / Rio de Janeiro / Belo Horizonte / Lagos / Luanda / Kinshasa / Khartoum / Baghdad / Tehran / Karachi / Ahmadabad / Pune / Mumbai / Riyadh / Cairo / Istanbul / Barcelona / Madrid / Boston / Toronto / Chicago / Atlanta / Washington / Philadelphia,105883
70,114479.59464350353,Guangzhou / Chongqing / Saint Petersburg / Paris / London / Boston / New York / Philadelphia / Washington / Toronto / Chicago / Los Angeles / Guadalajara / Mexico City / Houston / Dallas / Atlanta / Miami / Bogota / Lima / Santiago / Buenos Aires / Sao Paulo / Rio de Janeiro / Belo Horizonte / Madrid / Barcelona / Beijing / Tianjin / Shenyang / Shanghai / Taipei / Manila / Sydney / Melbourne / Jakarta / Singapore / Kinshasa / Luanda / Lagos / Khartoum / Cairo / Riyadh / Baghdad / Istanbul / Moscow / Tehran / Karachi / Lahore / Delhi / Ahmadabad / Mumbai / Pune / Hyderabad / Bengaluru / Chennai / Kolkata / Haora / Dhaka / Chittagong / Bangkok / Ho Chi Minh City / Hanoi / Wuhan / Seoul / Tokyo / Osaka / Hong Kong / Shenzhen / Dongguan / Guangzhou,44816
70,97367.55195280025,Los Angeles / Sydney / Melbourne / Jakarta / Singapore / Ho Chi Minh City / Bangkok / Hanoi / Chongqing / Wuhan / Tianjin / Beijing / Shenyang / Seoul / Tokyo / Osaka / Shanghai / Taipei / Manila / Hong Kong / Shenzhen / Dongguan / Guangzhou / Chittagong / Dhaka / Haora / Kolkata / Delhi / Lahore / Ahmadabad / Mumbai / Pune / Bengaluru / Chennai / Hyderabad / Karachi / Riyadh / Baghdad / Tehran / Moscow / Saint Petersburg / London / Paris / Istanbul / Cairo / Khartoum / Kinshasa / Luanda / Lagos / Barcelona / Madrid / Boston / New York / Washington / Atlanta / Miami / Bogota / Lima / Santiago / Buenos Aires / Sao Paulo / Rio de Janeiro / Belo Horizonte / Philadelphia / Toronto / Chicago / Dallas / Houston / Mexico City / Guadalajara / Los Angeles,118453
80,94438.90391418387,Philadelphia / New York / Boston / Madrid / Barcelona / Paris / London / Saint Petersburg / Moscow / Istanbul / Alexandria / Cairo / Baghdad / Tehran / Lahore / Delhi / Chennai / Bengaluru / Mumbai / Pune / Hyderabad / Haora / Kolkata / Rangoon / Bangkok / Ho Chi Minh City / Singapore / Jakarta / Melbourne / Sydney / Tokyo / Osaka / Seoul / Shenyang / Beijing / Tianjin / Shanghai / Taipei / Manila / Hong Kong / Shenzhen / Dongguan / Guangzhou / Hechi / Wuhan / Xi'an / Chengdu / Chongqing / Hanoi / Chittagong / Dhaka / Surat / Ahmadabad / Karachi / Riyadh / Khartoum / Kinshasa / Luanda / Lagos / Abidjan / Brasilia / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Lima / Bogota / Miami / Washington / Toronto / Chicago / Dallas / Houston / Phoenix / Los Angeles / Guadalajara / Mexico City / Atlanta / Philadelphia,267259
80,91190.93802841008,Madrid / Barcelona / Paris / London / Saint Petersburg / Moscow / Istanbul / Alexandria / Cairo / Baghdad / Tehran / Lahore / Delhi / Kolkata / Haora / Dhaka / Chittagong / Rangoon / Bangkok / Hanoi / Hechi / Ho Chi Minh City / Singapore / Jakarta / Melbourne / Sydney / Manila / Taipei / Shanghai / Osaka / Tokyo / Seoul / Shenyang / Beijing / Tianjin / Wuhan / Xi'an / Chengdu / Chongqing / Guangzhou / Dongguan / Shenzhen / Hong Kong / Chennai / Bengaluru / Hyderabad / Pune / Mumbai / Surat / Ahmadabad / Karachi / Riyadh / Khartoum / Kinshasa / Luanda / Lagos / Abidjan / Brasilia / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Lima / Bogota / Miami / Atlanta / Dallas / Houston / Mexico City / Guadalajara / Los Angeles / Phoenix / Chicago / Toronto / Washington / Philadelphia / New York / Boston / Madrid,297656
80,90926.0849068397,Istanbul / Alexandria / Cairo / Khartoum / Kinshasa / Luanda / Lagos / Abidjan / Brasilia / Belo Horizonte / Rio de Janeiro / Sao Paulo / Porto Alegre / Buenos Aires / Santiago / Lima / Bogota / Miami / Atlanta / Houston / Mexico City / Guadalajara / Los Angeles / Phoenix / Dallas / Chicago / Toronto / Washington / Philadelphia / New York / Boston / Madrid / Barcelona / Paris / London / Saint Petersburg / Moscow / Lahore / Delhi / Kolkata / Haora / Dhaka / Chittagong / Rangoon / Bangkok / Ho Chi Minh City / Singapore / Jakarta / Melbourne / Sydney / Manila / Taipei / Osaka / Tokyo / Seoul / Shenyang / Beijing / Tianjin / Shanghai / Wuhan / Xi'an / Chengdu / Chongqing / Guangzhou / Dongguan / Shenzhen / Hong Kong / Hechi / Hanoi / Chennai / Bengaluru / Hyderabad / Pune / Mumbai / Surat / Ahmadabad / Karachi / Riyadh / Tehran / Baghdad / Istanbul,151920
